name,n_depots,n_required_edges,n_nodes,lb_opt_1,lb_opt_2,lb_opt,sol_1,sol2,sol,approx,ub_approx
20_200_40,20,200,420,17598.1,17598.1,17598.1,34801,33403,33403,1.89811,1.97561,
20_200_41,20,200,420,16630.3,16630.3,16630.3,32880,31855,31855,1.91548,1.97561,
20_200_42,20,200,420,17779,17779,17779,35145,34301,34301,1.9293,1.97561,
20_200_43,20,200,420,16888,16888,16888,33392,32247,32247,1.90946,1.97561,
20_200_44,20,200,420,18227.8,18227.8,18227.8,36052,34374,34374,1.8858,1.97561,
20_200_45,20,200,420,17275.5,17275.5,17275.5,34162,32837,32837,1.90078,1.97561,
20_200_46,20,200,420,16385.4,16385.4,16385.4,32402,31141,31141,1.90053,1.97561,
20_200_47,20,200,420,17880.2,17880.2,17880.2,35356,34057,34057,1.90473,1.97561,
20_200_48,20,200,420,17020.8,17020.8,17020.8,33654,32525,32525,1.9109,1.97561,
20_200_49,20,200,420,17424.2,17424.2,17424.2,34450,33362,33362,1.91469,1.97561,
20_200_50,20,200,420,16783.1,16783.1,16783.1,33179,32270,32270,1.92277,1.97561,
20_200_51,20,200,420,16771.8,16771.8,16771.8,33176,31475,31475,1.87666,1.97561,
20_200_52,20,200,420,16618.1,16618.1,16618.1,32870,31264,31264,1.88133,1.97561,
20_200_53,20,200,420,16372.1,16372.1,16372.1,32367,31463,31463,1.92174,1.97561,
20_200_54,20,200,420,17089.3,17089.3,17089.3,33785,32833,32833,1.92126,1.97561,
20_200_55,20,200,420,17098.8,17098.8,17098.8,33809,32639,32639,1.90885,1.97561,
20_200_56,20,200,420,17775.4,17775.4,17775.4,35164,33249,33249,1.8705,1.97561,
20_200_57,20,200,420,17815,17815,17815,35228,33893,33893,1.9025,1.97561,
20_200_58,20,200,420,16716.2,16716.2,16716.2,33042,32334,32334,1.93429,1.97561,
20_200_59,20,200,420,16780.1,16780.1,16780.1,33194,31427,31427,1.87287,1.97561,
20_200_60,20,200,420,16825.6,16825.6,16825.6,33275,31871,31871,1.8942,1.97561,
20_200_61,20,200,420,17179.1,17179.1,17179.1,33960,33111,33111,1.92739,1.97561,
20_200_62,20,200,420,17848,17848,17848,35297,33807,33807,1.89416,1.97561,
20_200_63,20,200,420,17408.8,17408.8,17408.8,34432,32831,32831,1.88589,1.97561,
20_200_64,20,200,420,17408.8,17408.8,17408.8,34426,33069,33069,1.89956,1.97561,
20_200_65,20,200,420,17368.1,17368.1,17368.1,34346,32976,32976,1.89865,1.97561,
20_200_66,20,200,420,17346.6,17346.6,17346.6,34306,32834,32834,1.89282,1.97561,
20_200_67,20,200,420,17057.8,17057.8,17057.8,33730,32484,32484,1.90435,1.97561,
20_200_68,20,200,420,16807.4,16807.4,16807.4,33224,32439,32439,1.93004,1.97561,
20_200_69,20,200,420,17507.7,17507.7,17507.7,34624,33161,33161,1.89408,1.97561,
20_200_70,20,200,420,16531.1,16531.1,16531.1,32684,31661,31661,1.91524,1.97561,
20_200_71,20,200,420,17187.2,17187.2,17187.2,33986,32722,32722,1.90386,1.97561,
20_200_72,20,200,420,17578.7,17578.7,17578.7,34765,33277,33277,1.89303,1.97561,
20_200_73,20,200,420,17384.5,17384.5,17384.5,34381,32907,32907,1.89289,1.97561,
