name,n_depots,n_required_edges,n_nodes,lb_opt_1,lb_opt_2,lb_opt,sol_1,sol2,sol,approx,ub_approx
5_25_10,5,25,55,2324.67,2324.67,2324.67,4427,4548,4427,1.90436,1.90909,
5_25_11,5,25,55,2278.29,2278.29,2278.29,4364,4204,4204,1.84525,1.90909,
5_25_12,5,25,55,2597.62,2597.62,2597.62,4953,5020,4953,1.90675,1.90909,
5_25_13,5,25,55,2253,2253,2253,4317,4143,4143,1.83888,1.90909,
5_25_14,5,25,55,2331.9,2331.9,2331.9,4445,4520,4445,1.90617,1.90909,
5_25_15,5,25,55,2048.76,2048.76,2048.76,3915,3874,3874,1.8909,1.90909,
5_25_16,5,25,55,2563.24,2563.24,2563.24,4894,4888,4888,1.90696,1.90909,
5_25_17,5,25,55,2448.38,2448.38,2448.38,4663,4786,4663,1.90452,1.90909,
5_25_18,5,25,55,2246.1,2246.1,2246.1,4312,4048,4048,1.80224,1.90909,
5_25_19,5,25,55,2185.24,2185.24,2185.24,4163,4260,4163,1.90506,1.90909,
5_25_20,5,25,55,1870.86,1870.86,1870.86,3599,3298,3298,1.76283,1.90909,
5_25_21,5,25,55,2253.19,2253.19,2253.19,4294,4377,4294,1.90574,1.90909,
5_25_22,5,25,55,2443.9,2443.9,2443.9,4674,4582,4582,1.87487,1.90909,
5_25_23,5,25,55,2124.1,2124.1,2124.1,4049,4116,4049,1.90622,1.90909,
5_25_24,5,25,55,2274.14,2274.14,2274.14,4342,4337,4337,1.90709,1.90909,
5_25_25,5,25,55,2169.05,2169.05,2169.05,4152,4030,4030,1.85796,1.90909,
5_25_26,5,25,55,2071.81,2071.81,2071.81,3958,3928,3928,1.89593,1.90909,
5_25_27,5,25,55,2293.33,2293.33,2293.33,4389,4270,4270,1.86192,1.90909,
5_25_28,5,25,55,2181.14,2181.14,2181.14,4163,4174,4163,1.90863,1.90909,
5_25_29,5,25,55,2465.1,2465.1,2465.1,4713,4637,4637,1.88106,1.90909,
5_25_30,5,25,55,2297.33,2297.33,2297.33,4406,4184,4184,1.82124,1.90909,
5_25_31,5,25,55,1933.14,1933.14,1933.14,3694,3656,3656,1.89122,1.90909,
5_25_32,5,25,55,2337.48,2337.48,2337.48,4466,4427,4427,1.89392,1.90909,
5_25_33,5,25,55,2361.86,2361.86,2361.86,4510,4499,4499,1.90486,1.90909,
5_25_34,5,25,55,2185.62,2185.62,2185.62,4157,4328,4157,1.90198,1.90909,
5_25_35,5,25,55,1877.48,1877.48,1877.48,3575,3677,3575,1.90415,1.90909,
5_25_36,5,25,55,2360.86,2360.86,2360.86,4516,4418,4418,1.87135,1.90909,
5_25_37,5,25,55,2244.86,2244.86,2244.86,4294,4202,4202,1.87183,1.90909,
5_25_38,5,25,55,2268.1,2268.1,2268.1,4332,4310,4310,1.90027,1.90909,
5_25_39,5,25,55,2188.76,2188.76,2188.76,4177,4194,4177,1.90838,1.90909,
5_25_40,5,25,55,2055.71,2055.71,2055.71,3918,3990,3918,1.90591,1.90909,
5_25_41,5,25,55,1944,1944,1944,3728,3544,3544,1.82305,1.90909,
5_25_42,5,25,55,2213.9,2213.9,2213.9,4231,4182,4182,1.88897,1.90909,
5_25_43,5,25,55,2447.76,2447.76,2447.76,4660,4803,4660,1.90378,1.90909,
5_25_44,5,25,55,2415.9,2415.9,2415.9,4620,4534,4534,1.87673,1.90909,
5_25_45,5,25,55,2113.48,2113.48,2113.48,4017,4213,4017,1.90066,1.90909,
5_25_46,5,25,55,2080.48,2080.48,2080.48,3965,4040,3965,1.90581,1.90909,
5_25_47,5,25,55,2298.86,2298.86,2298.86,4376,4516,4376,1.90355,1.90909,
5_25_48,5,25,55,2548.29,2548.29,2548.29,4886,4654,4654,1.82633,1.90909,
5_25_49,5,25,55,2333.86,2333.86,2333.86,4457,4441,4441,1.90286,1.90909,
5_25_50,5,25,55,2275.57,2275.57,2275.57,4341,4377,4341,1.90765,1.90909,
5_25_51,5,25,55,2040.76,2040.76,2040.76,3899,3866,3866,1.89439,1.90909,
5_25_52,5,25,55,2359.86,2359.86,2359.86,4511,4447,4447,1.88444,1.90909,
5_25_53,5,25,55,2329.9,2329.9,2329.9,4474,4188,4188,1.7975,1.90909,
5_25_54,5,25,55,2442.1,2442.1,2442.1,4668,4604,4604,1.88527,1.90909,
5_25_55,5,25,55,2603.29,2603.29,2603.29,4983,4839,4839,1.8588,1.90909,
5_25_56,5,25,55,2505.71,2505.71,2505.71,4776,4860,4776,1.90604,1.90909,
5_25_57,5,25,55,2298.24,2298.24,2298.24,4397,4293,4293,1.86795,1.90909,
5_25_58,5,25,55,2251.71,2251.71,2251.71,4291,4376,4291,1.90566,1.90909,
5_25_59,5,25,55,2498.19,2498.19,2498.19,4786,4602,4602,1.84213,1.90909,
5_25_60,5,25,55,2194.86,2194.86,2194.86,4185,4242,4185,1.90673,1.90909,
5_25_61,5,25,55,2492.1,2492.1,2492.1,4765,4684,4684,1.87954,1.90909,
5_25_62,5,25,55,2349.24,2349.24,2349.24,4496,4374,4374,1.86188,1.90909,
5_25_63,5,25,55,2765.52,2765.52,2765.52,5306,5016,5016,1.81376,1.90909,
5_25_64,5,25,55,2400.67,2400.67,2400.67,4566,4754,4566,1.90197,1.90909,
5_25_65,5,25,55,2458,2458,2458,4682,4798,4682,1.9048,1.90909,
5_25_66,5,25,55,2145.67,2145.67,2145.67,4103,4029,4029,1.87774,1.90909,
5_25_67,5,25,55,2538.86,2538.86,2538.86,4840,4916,4840,1.90637,1.90909,
5_25_68,5,25,55,2361.52,2361.52,2361.52,4533,4262,4262,1.80477,1.90909,
5_25_69,5,25,55,2132.57,2132.57,2132.57,4081,3974,3974,1.86348,1.90909,
5_25_70,5,25,55,2370.24,2370.24,2370.24,4532,4455,4455,1.87956,1.90909,
5_25_71,5,25,55,2570.19,2570.19,2570.19,4891,5064,4891,1.90297,1.90909,
5_25_72,5,25,55,2167.33,2167.33,2167.33,4127,4244,4127,1.90418,1.90909,
5_25_73,5,25,55,2473.19,2473.19,2473.19,4712,4817,4712,1.90523,1.90909,
5_25_74,5,25,55,2029.81,2029.81,2029.81,3905,3576,3576,1.76174,1.90909,
5_25_75,5,25,55,2190.24,2190.24,2190.24,4170,4295,4170,1.9039,1.90909,
5_25_76,5,25,55,1971.05,1971.05,1971.05,3749,3902,3749,1.90203,1.90909,
5_25_77,5,25,55,2231.48,2231.48,2231.48,4279,4071,4071,1.82435,1.90909,
5_25_78,5,25,55,2432.86,2432.86,2432.86,4652,4570,4570,1.87845,1.90909,
5_25_79,5,25,55,2277.48,2277.48,2277.48,4366,4167,4167,1.82966,1.90909,
5_25_80,5,25,55,2273.62,2273.62,2273.62,4349,4256,4256,1.87191,1.90909,
5_25_81,5,25,55,2321.76,2321.76,2321.76,4442,4337,4337,1.86798,1.90909,
5_25_82,5,25,55,2404.05,2404.05,2404.05,4586,4625,4586,1.90762,1.90909,
5_25_83,5,25,55,2681.33,2681.33,2681.33,5150,4808,4808,1.79314,1.90909,
5_25_84,5,25,55,2155.1,2155.1,2155.1,4106,4197,4106,1.90525,1.90909,
5_25_85,5,25,55,2342.67,2342.67,2342.67,4479,4406,4406,1.88076,1.90909,
5_25_86,5,25,55,2500.24,2500.24,2500.24,4782,4685,4685,1.87382,1.90909,
5_25_87,5,25,55,1995.95,1995.95,1995.95,3807,3845,3807,1.90736,1.90909,
5_25_88,5,25,55,2337.52,2337.52,2337.52,4465,4438,4438,1.89859,1.90909,
5_25_89,5,25,55,2112.95,2112.95,2112.95,4021,4162,4021,1.90302,1.90909,
5_25_90,5,25,55,2446.95,2446.95,2446.95,4667,4716,4667,1.90727,1.90909,
5_25_91,5,25,55,2239.9,2239.9,2239.9,4290,4138,4138,1.8474,1.90909,
5_25_92,5,25,55,2364.29,2364.29,2364.29,4518,4470,4470,1.89063,1.90909,
5_25_93,5,25,55,2615.52,2615.52,2615.52,5004,4886,4886,1.86808,1.90909,
5_25_94,5,25,55,2463.29,2463.29,2463.29,4714,4589,4589,1.86296,1.90909,
5_25_95,5,25,55,2501.81,2501.81,2501.81,4781,4728,4728,1.88983,1.90909,
5_25_96,5,25,55,2628.76,2628.76,2628.76,5021,4994,4994,1.89975,1.90909,
5_25_97,5,25,55,2154.24,2154.24,2154.24,4100,4239,4100,1.90323,1.90909,
5_25_98,5,25,55,1915.38,1915.38,1915.38,3656,3663,3656,1.90876,1.90909,
5_25_99,5,25,55,2386.71,2386.71,2386.71,4547,4651,4547,1.90513,1.90909,
5_50_0,5,50,105,4266.05,4266.05,4266.05,8176,7827,7827,1.83472,1.90909,
5_50_1,5,50,105,5092.62,5092.62,5092.62,9735,9595,9595,1.8841,1.90909,
5_50_2,5,50,105,4546.48,4546.48,4546.48,8687,8606,8606,1.89289,1.90909,
5_50_3,5,50,105,4208,4208,4208,8045,7918,7918,1.88165,1.90909,
5_50_4,5,50,105,4844.86,4844.86,4844.86,9259,9152,9152,1.88901,1.90909,
5_50_5,5,50,105,4921.71,4921.71,4921.71,9394,9416,9394,1.90868,1.90909,
5_50_6,5,50,105,4592.57,4592.57,4592.57,8792,8524,8524,1.85604,1.90909,
5_50_7,5,50,105,4728.57,4728.57,4728.57,9072,8580,8580,1.8145,1.90909,
5_50_8,5,50,105,4280.05,4280.05,4280.05,8180,8081,8081,1.88806,1.90909,
5_50_9,5,50,105,4215.48,4215.48,4215.48,8072,7805,7805,1.85151,1.90909,
5_50_10,5,50,105,4492.67,4492.67,4492.67,8545,8896,8545,1.90199,1.90909,
5_50_11,5,50,105,4436.48,4436.48,4436.48,8482,8346,8346,1.88122,1.90909,
5_50_12,5,50,105,4440.81,4440.81,4440.81,8476,8497,8476,1.90866,1.90909,
5_50_13,5,50,105,4418.76,4418.76,4418.76,8459,8204,8204,1.85663,1.90909,
5_50_14,5,50,105,4513.81,4513.81,4513.81,8646,8330,8330,1.84545,1.90909,
5_50_15,5,50,105,4555.38,4555.38,4555.38,8717,8493,8493,1.86439,1.90909,
5_50_16,5,50,105,4700.86,4700.86,4700.86,9006,8658,8658,1.84179,1.90909,
5_50_17,5,50,105,4549.29,4549.29,4549.29,8706,8475,8475,1.86293,1.90909,
5_50_18,5,50,105,4924.14,4924.14,4924.14,9417,9237,9237,1.87586,1.90909,
5_50_19,5,50,105,4441.67,4441.67,4441.67,8497,8305,8305,1.86979,1.90909,
5_50_20,5,50,105,4912.86,4912.86,4912.86,9395,9220,9220,1.87671,1.90909,
5_50_21,5,50,105,4341.19,4341.19,4341.19,8274,8425,8274,1.90593,1.90909,
5_50_22,5,50,105,4815.14,4815.14,4815.14,9214,8978,8978,1.86453,1.90909,
5_50_23,5,50,105,5002.81,5002.81,5002.81,9573,9329,9329,1.86475,1.90909,
5_50_24,5,50,105,4753.05,4753.05,4753.05,9094,8874,8874,1.86701,1.90909,
5_50_25,5,50,105,4465.86,4465.86,4465.86,8566,8123,8123,1.81891,1.90909,
5_50_26,5,50,105,4730.95,4730.95,4730.95,9040,8950,8950,1.8918,1.90909,
5_50_27,5,50,105,4291.14,4291.14,4291.14,8214,7974,7974,1.85825,1.90909,
5_50_28,5,50,105,4429.76,4429.76,4429.76,8457,8455,8455,1.90868,1.90909,
5_50_29,5,50,105,4300.81,4300.81,4300.81,8223,8087,8087,1.88034,1.90909,
5_50_30,5,50,105,4754.29,4754.29,4754.29,9102,8820,8820,1.85517,1.90909,
5_50_31,5,50,105,4600.81,4600.81,4600.81,8824,8377,8377,1.82077,1.90909,
5_50_32,5,50,105,4642.14,4642.14,4642.14,8897,8515,8515,1.83428,1.90909,
5_50_33,5,50,105,4216.9,4216.9,4216.9,8064,7915,7915,1.87697,1.90909,
5_50_34,5,50,105,4864.76,4864.76,4864.76,9314,9020,9020,1.85415,1.90909,
5_50_35,5,50,105,4735,4735,4735,9078,8655,8655,1.82788,1.90909,
5_50_36,5,50,105,4190.43,4190.43,4190.43,8004,7959,7959,1.89933,1.90909,
5_50_37,5,50,105,4349.81,4349.81,4349.81,8330,8046,8046,1.84974,1.90909,
5_50_38,5,50,105,5032.05,5032.05,5032.05,9628,9393,9393,1.86664,1.90909,
5_50_39,5,50,105,4317.48,4317.48,4317.48,8275,7917,7917,1.83371,1.90909,
5_50_40,5,50,105,4342.1,4342.1,4342.1,8289,8294,8289,1.90899,1.90909,
5_50_41,5,50,105,4446.19,4446.19,4446.19,8491,8460,8460,1.90275,1.90909,
5_50_42,5,50,105,4661.19,4661.19,4661.19,8929,8595,8595,1.84395,1.90909,
5_50_43,5,50,105,4549.05,4549.05,4549.05,8710,8430,8430,1.85314,1.90909,
5_50_44,5,50,105,5106.19,5106.19,5106.19,9776,9470,9470,1.85461,1.90909,
5_50_45,5,50,105,4806.71,4806.71,4806.71,9192,9021,9021,1.87675,1.90909,
5_50_46,5,50,105,4582.19,4582.19,4582.19,8776,8466,8466,1.84759,1.90909,
5_50_47,5,50,105,4674,4674,4674,8946,8694,8694,1.86008,1.90909,
5_50_48,5,50,105,4774.71,4774.71,4774.71,9135,8919,8919,1.86797,1.90909,
5_50_49,5,50,105,4356.67,4356.67,4356.67,8341,8080,8080,1.85463,1.90909,
5_50_50,5,50,105,4893.38,4893.38,4893.38,9327,9491,9327,1.90604,1.90909,
5_50_51,5,50,105,4212.19,4212.19,4212.19,8065,7806,7806,1.85319,1.90909,
5_50_52,5,50,105,3931.62,3931.62,3931.62,7513,7434,7434,1.89082,1.90909,
5_50_53,5,50,105,4719.95,4719.95,4719.95,9030,8819,8819,1.86845,1.90909,
5_50_54,5,50,105,4697.67,4697.67,4697.67,8978,8871,8871,1.88838,1.90909,
5_50_55,5,50,105,4265.1,4265.1,4265.1,8167,7897,7897,1.85154,1.90909,
5_50_56,5,50,105,4733.43,4733.43,4733.43,9042,8982,8982,1.89757,1.90909,
5_50_57,5,50,105,4569.52,4569.52,4569.52,8717,8790,8717,1.90764,1.90909,
5_50_58,5,50,105,4672.24,4672.24,4672.24,8955,8567,8567,1.8336,1.90909,
5_50_59,5,50,105,3897.29,3897.29,3897.29,7449,7353,7353,1.8867,1.90909,
5_50_60,5,50,105,4671.9,4671.9,4671.9,8940,8710,8710,1.86434,1.90909,
5_50_61,5,50,105,4323,4323,4323,8283,7953,7953,1.83969,1.90909,
5_50_62,5,50,105,4581,4581,4581,8773,8471,8471,1.84916,1.90909,
5_50_63,5,50,105,3863.57,3863.57,3863.57,7395,7185,7185,1.85968,1.90909,
5_50_64,5,50,105,4825.43,4825.43,4825.43,9205,9284,9205,1.9076,1.90909,
5_50_65,5,50,105,4475.1,4475.1,4475.1,8556,8417,8417,1.88085,1.90909,
5_50_66,5,50,105,4776.9,4776.9,4776.9,9149,8825,8825,1.84743,1.90909,
5_50_67,5,50,105,4067.38,4067.38,4067.38,7763,7785,7763,1.9086,1.90909,
5_50_68,5,50,105,4361.29,4361.29,4361.29,8348,8107,8107,1.85886,1.90909,
5_50_69,5,50,105,4450.62,4450.62,4450.62,8529,8173,8173,1.83637,1.90909,
5_50_70,5,50,105,4651.43,4651.43,4651.43,8913,8550,8550,1.83814,1.90909,
5_50_71,5,50,105,5406.62,5406.62,5406.62,10328,10259,10259,1.89749,1.90909,
5_50_72,5,50,105,3995.14,3995.14,3995.14,7649,7408,7408,1.85425,1.90909,
5_50_73,5,50,105,5018.05,5018.05,5018.05,9587,9509,9509,1.89496,1.90909,
5_50_74,5,50,105,4944.9,4944.9,4944.9,9426,9583,9426,1.9062,1.90909,
5_50_75,5,50,105,4428.71,4428.71,4428.71,8435,8653,8435,1.90462,1.90909,
5_50_76,5,50,105,4299.43,4299.43,4299.43,8231,7978,7978,1.8556,1.90909,
5_50_77,5,50,105,4555.48,4555.48,4555.48,8719,8475,8475,1.8604,1.90909,
5_50_78,5,50,105,4298.86,4298.86,4298.86,8215,8126,8126,1.89027,1.90909,
5_50_79,5,50,105,4587.38,4587.38,4587.38,8762,8715,8715,1.89978,1.90909,
5_50_80,5,50,105,4368.48,4368.48,4368.48,8348,8258,8258,1.89036,1.90909,
5_50_81,5,50,105,4325.76,4325.76,4325.76,8274,8101,8101,1.87273,1.90909,
5_50_82,5,50,105,4208.57,4208.57,4208.57,8040,7980,7980,1.89613,1.90909,
5_50_83,5,50,105,4373.24,4373.24,4373.24,8363,8208,8208,1.87687,1.90909,
5_50_84,5,50,105,4716.9,4716.9,4716.9,9017,8885,8885,1.88365,1.90909,
5_50_85,5,50,105,4255.19,4255.19,4255.19,8148,7879,7879,1.85162,1.90909,
5_50_86,5,50,105,4628,4628,4628,8860,8588,8588,1.85566,1.90909,
5_50_87,5,50,105,4155.1,4155.1,4155.1,7936,7897,7897,1.90056,1.90909,
5_50_88,5,50,105,4619.33,4619.33,4619.33,8839,8616,8616,1.8652,1.90909,
5_50_89,5,50,105,4480.38,4480.38,4480.38,8574,8348,8348,1.86323,1.90909,
5_50_90,5,50,105,4837.48,4837.48,4837.48,9235,9237,9235,1.90905,1.90909,
5_50_91,5,50,105,4867.33,4867.33,4867.33,9320,9014,9014,1.85194,1.90909,
5_50_92,5,50,105,4711.57,4711.57,4711.57,9025,8693,8693,1.84503,1.90909,
5_50_93,5,50,105,4254,4254,4254,8138,7954,7954,1.86977,1.90909,
5_50_94,5,50,105,4427.1,4427.1,4427.1,8505,7919,7919,1.78876,1.90909,
5_50_95,5,50,105,4721.86,4721.86,4721.86,9028,8879,8879,1.8804,1.90909,
5_50_96,5,50,105,4725.52,4725.52,4725.52,9056,8676,8676,1.83599,1.90909,
5_50_97,5,50,105,4339.05,4339.05,4339.05,8331,7810,7810,1.79993,1.90909,
5_50_98,5,50,105,4811.71,4811.71,4811.71,9199,9056,9056,1.88207,1.90909,
5_50_99,5,50,105,4270.14,4270.14,4270.14,8186,7813,7813,1.82968,1.90909,
5_100_0,5,100,205,8823.14,8823.14,8823.14,16864,16646,16646,1.88663,1.90909,
5_100_1,5,100,205,8767.29,8767.29,8767.29,16763,16483,16483,1.88006,1.90909,
5_100_2,5,100,205,9293.57,9293.57,9293.57,17771,17455,17455,1.87818,1.90909,
5_100_3,5,100,205,8613.48,8613.48,8613.48,16490,15983,15983,1.85558,1.90909,
5_100_4,5,100,205,8894.62,8894.62,8894.62,17012,16667,16667,1.87383,1.90909,
5_100_5,5,100,205,8436.05,8436.05,8436.05,16149,15667,15667,1.85715,1.90909,
5_100_6,5,100,205,8820.9,8820.9,8820.9,16891,16329,16329,1.85117,1.90909,
5_100_7,5,100,205,8817.95,8817.95,8817.95,16898,16197,16197,1.83682,1.90909,
5_100_8,5,100,205,9293.43,9293.43,9293.43,17759,17572,17572,1.8908,1.90909,
5_100_9,5,100,205,9133.57,9133.57,9133.57,17496,16845,16845,1.84429,1.90909,
5_100_10,5,100,205,7991.05,7991.05,7991.05,15299,14822,14822,1.85483,1.90909,
5_100_11,5,100,205,9207.24,9207.24,9207.24,17618,17172,17172,1.86505,1.90909,
5_100_12,5,100,205,10138,10138,10138,19410,18799,18799,1.8543,1.90909,
5_100_13,5,100,205,8763.52,8763.52,8763.52,16773,16304,16304,1.86044,1.90909,
5_100_14,5,100,205,9586.29,9586.29,9586.29,18361,17702,17702,1.8466,1.90909,
5_100_15,5,100,205,9981.67,9981.67,9981.67,19094,18675,18675,1.87093,1.90909,
5_100_16,5,100,205,9104.43,9104.43,9104.43,17400,17193,17193,1.88842,1.90909,
5_100_17,5,100,205,8746.14,8746.14,8746.14,16730,16369,16369,1.87157,1.90909,
5_100_18,5,100,205,8772.9,8772.9,8772.9,16791,16321,16321,1.86039,1.90909,
5_100_19,5,100,205,8462.14,8462.14,8462.14,16186,15845,15845,1.87246,1.90909,
5_100_20,5,100,205,8992.33,8992.33,8992.33,17231,16529,16529,1.83812,1.90909,
5_100_21,5,100,205,9952.52,9952.52,9952.52,19034,18663,18663,1.8752,1.90909,
5_100_22,5,100,205,8548.9,8548.9,8548.9,16380,15727,15727,1.83965,1.90909,
5_100_23,5,100,205,8727.48,8727.48,8727.48,16688,16397,16397,1.87878,1.90909,
5_100_24,5,100,205,9306.71,9306.71,9306.71,17791,17531,17531,1.88369,1.90909,
5_100_25,5,100,205,9265.9,9265.9,9265.9,17736,17224,17224,1.85886,1.90909,
5_100_26,5,100,205,8937.9,8937.9,8937.9,17087,16826,16826,1.88254,1.90909,
5_100_27,5,100,205,9131.9,9131.9,9131.9,17491,16860,16860,1.84627,1.90909,
5_100_28,5,100,205,8716.95,8716.95,8716.95,16687,16186,16186,1.85684,1.90909,
5_100_29,5,100,205,8482.86,8482.86,8482.86,16206,16080,16080,1.89559,1.90909,
5_100_30,5,100,205,9334.52,9334.52,9334.52,17850,17525,17525,1.87744,1.90909,
5_100_31,5,100,205,8951.67,8951.67,8951.67,17121,16775,16775,1.87395,1.90909,
5_100_32,5,100,205,9163.29,9163.29,9163.29,17518,17249,17249,1.8824,1.90909,
5_100_33,5,100,205,8764.86,8764.86,8764.86,16765,16412,16412,1.87248,1.90909,
5_100_34,5,100,205,9359.62,9359.62,9359.62,17905,17502,17502,1.86995,1.90909,
5_100_35,5,100,205,9271.95,9271.95,9271.95,17761,17101,17101,1.84438,1.90909,
5_100_36,5,100,205,9206.62,9206.62,9206.62,17654,16799,16799,1.82467,1.90909,
5_100_37,5,100,205,9472.19,9472.19,9472.19,18180,17116,17116,1.80697,1.90909,
5_100_38,5,100,205,8690.14,8690.14,8690.14,16627,16223,16223,1.86683,1.90909,
5_100_39,5,100,205,9456.1,9456.1,9456.1,18101,17568,17568,1.85785,1.90909,
5_100_40,5,100,205,9102.67,9102.67,9102.67,17466,16496,16496,1.81222,1.90909,
5_100_41,5,100,205,8340.29,8340.29,8340.29,15989,15256,15256,1.82919,1.90909,
5_100_42,5,100,205,8668.71,8668.71,8668.71,16567,16373,16373,1.88875,1.90909,
5_100_43,5,100,205,9247.86,9247.86,9247.86,17698,17225,17225,1.86259,1.90909,
5_100_44,5,100,205,8208.81,8208.81,8208.81,15716,15225,15225,1.85471,1.90909,
5_100_45,5,100,205,8725.86,8725.86,8725.86,16705,16193,16193,1.85575,1.90909,
5_100_46,5,100,205,8640.05,8640.05,8640.05,16525,16191,16191,1.87395,1.90909,
5_100_47,5,100,205,9507.29,9507.29,9507.29,18172,17933,17933,1.88624,1.90909,
5_100_48,5,100,205,9194.24,9194.24,9194.24,17584,17239,17239,1.87498,1.90909,
5_100_49,5,100,205,9405.05,9405.05,9405.05,18000,17506,17506,1.86134,1.90909,
5_100_50,5,100,205,9241.14,9241.14,9241.14,17673,17334,17334,1.87574,1.90909,
5_100_51,5,100,205,9287.76,9287.76,9287.76,17757,17473,17473,1.88129,1.90909,
5_100_52,5,100,205,9389.19,9389.19,9389.19,17977,17403,17403,1.85351,1.90909,
5_100_53,5,100,205,9004.05,9004.05,9004.05,17233,16755,16755,1.86083,1.90909,
5_100_54,5,100,205,8988.67,8988.67,8988.67,17176,17002,17002,1.89149,1.90909,
5_100_55,5,100,205,8604.57,8604.57,8604.57,16500,15696,15696,1.82415,1.90909,
5_100_56,5,100,205,8242.81,8242.81,8242.81,15772,15379,15379,1.86575,1.90909,
5_100_57,5,100,205,8566.86,8566.86,8566.86,16384,16064,16064,1.87513,1.90909,
5_100_58,5,100,205,9663.95,9663.95,9663.95,18489,18053,18053,1.86808,1.90909,
5_100_59,5,100,205,8852.29,8852.29,8852.29,16943,16468,16468,1.86031,1.90909,
5_100_60,5,100,205,9694.95,9694.95,9694.95,18540,18194,18194,1.87665,1.90909,
5_100_61,5,100,205,9601.1,9601.1,9601.1,18392,17703,17703,1.84385,1.90909,
5_100_62,5,100,205,9213.38,9213.38,9213.38,17615,17331,17331,1.88107,1.90909,
5_100_63,5,100,205,9671.05,9671.05,9671.05,18555,17542,17542,1.81387,1.90909,
5_100_64,5,100,205,8344.62,8344.62,8344.62,15997,15267,15267,1.82956,1.90909,
5_100_65,5,100,205,9095.19,9095.19,9095.19,17414,16859,16859,1.85362,1.90909,
5_100_66,5,100,205,8605.29,8605.29,8605.29,16464,16071,16071,1.86757,1.90909,
5_100_67,5,100,205,8715.71,8715.71,8715.71,16689,16140,16140,1.85183,1.90909,
5_100_68,5,100,205,9030.1,9030.1,9030.1,17269,16942,16942,1.87617,1.90909,
5_100_69,5,100,205,9139.57,9139.57,9139.57,17513,16801,16801,1.83827,1.90909,
5_100_70,5,100,205,8956.14,8956.14,8956.14,17121,16869,16869,1.88351,1.90909,
5_100_71,5,100,205,8931,8931,8931,17108,16471,16471,1.84425,1.90909,
5_100_72,5,100,205,9303.76,9303.76,9303.76,17774,17639,17639,1.8959,1.90909,
5_100_73,5,100,205,9475.76,9475.76,9475.76,18149,17501,17501,1.84692,1.90909,
5_100_74,5,100,205,8577.43,8577.43,8577.43,16426,15866,15866,1.84974,1.90909,
5_100_75,5,100,205,8689.67,8689.67,8689.67,16669,15793,15793,1.81745,1.90909,
5_100_76,5,100,205,8549.52,8549.52,8549.52,16424,15300,15300,1.78957,1.90909,
5_100_77,5,100,205,9890.29,9890.29,9890.29,18983,17866,17866,1.80642,1.90909,
5_100_78,5,100,205,8417.62,8417.62,8417.62,16115,15620,15620,1.85563,1.90909,
5_100_79,5,100,205,8325.57,8325.57,8325.57,15920,15637,15637,1.87819,1.90909,
5_100_80,5,100,205,8947.05,8947.05,8947.05,17123,16658,16658,1.86184,1.90909,
5_100_81,5,100,205,9282.9,9282.9,9282.9,17759,17351,17351,1.86913,1.90909,
5_100_82,5,100,205,9401.52,9401.52,9401.52,17965,17782,17782,1.8914,1.90909,
5_100_83,5,100,205,8871.71,8871.71,8871.71,16954,16766,16766,1.88983,1.90909,
5_100_84,5,100,205,8905.52,8905.52,8905.52,17034,16676,16676,1.87255,1.90909,
5_100_85,5,100,205,8298.81,8298.81,8298.81,15882,15455,15455,1.86232,1.90909,
5_100_86,5,100,205,9018.24,9018.24,9018.24,17251,16873,16873,1.87099,1.90909,
5_100_87,5,100,205,9411.29,9411.29,9411.29,17991,17727,17727,1.88359,1.90909,
5_100_88,5,100,205,9281.43,9281.43,9281.43,17732,17590,17590,1.89518,1.90909,
5_100_89,5,100,205,9244.33,9244.33,9244.33,17685,17281,17281,1.86936,1.90909,
5_100_90,5,100,205,9121.9,9121.9,9121.9,17498,16580,16580,1.8176,1.90909,
5_100_91,5,100,205,9054.1,9054.1,9054.1,17313,17006,17006,1.87827,1.90909,
5_100_92,5,100,205,8890,8890,8890,17002,16670,16670,1.87514,1.90909,
5_100_93,5,100,205,9102.86,9102.86,9102.86,17409,17070,17070,1.87524,1.90909,
5_100_94,5,100,205,9251.76,9251.76,9251.76,17734,16947,16947,1.83176,1.90909,
5_100_95,5,100,205,8944.95,8944.95,8944.95,17102,16824,16824,1.88084,1.90909,
5_100_96,5,100,205,8386.05,8386.05,8386.05,16065,15457,15457,1.84318,1.90909,
5_100_97,5,100,205,9394.48,9394.48,9394.48,17993,17354,17354,1.84726,1.90909,
5_100_98,5,100,205,8457.33,8457.33,8457.33,16211,15494,15494,1.83202,1.90909,
5_100_99,5,100,205,9206.48,9206.48,9206.48,17610,17236,17236,1.87216,1.90909,
10_50_0,10,50,110,4273.46,4273.46,4273.46,8363,7952,7952,1.86079,1.95238,
10_50_1,10,50,110,4311.05,4311.05,4311.05,8447,7813,7813,1.81232,1.95238,
10_50_2,10,50,110,4135.27,4135.27,4135.27,8084,7866,7866,1.90217,1.95238,
10_50_3,10,50,110,4176.17,4176.17,4176.17,8164,7943,7943,1.90198,1.95238,
10_50_4,10,50,110,4367.68,4367.68,4367.68,8536,8355,8355,1.91291,1.95238,
10_50_5,10,50,110,4492.12,4492.12,4492.12,8793,8317,8317,1.85146,1.95238,
10_50_6,10,50,110,4145.59,4145.59,4145.59,8102,7929,7929,1.91264,1.95238,
10_50_7,10,50,110,4717.17,4717.17,4717.17,9222,8964,8964,1.90029,1.95238,
